"","prefix","Replicate","Generation","mean.fitness","mean.prop.SL","Schedule","mean.learning.rate","mean.learning.rate.SL","mean.learning.episodes","mean.best.fitness","environmental.mean.location","perfrom","folder","seed","init_w_range","init_lr_range","init_le_mean","init_prop_sl","mut_rate_w","mut_step_w","lr_homogenous","mut_rate_lr","mut_step_lr","le_homogenous","mut_rate_le","mut_step_le","mut_rate_sl","mut_step_sl","N","G","lifespan","extrapolate_from","nr_replicates","env_sample_size","env_range","init_mean_env","sd_env","env_change","env_change_sd","env_change_type","env_change_rate","SL_type","IL_type","cue_type","sl_homogenous","one_social_parent","success_bias","sl_speed","mut_rate_schedule","differential_learning_rates","schedule_init","file_rep","f","M","f_M","f_M_simple","colSpaces","row","xLabs","Change","Rate","SD","IL","IL_long","SL","Performance"
"547","181_init_prop_sl_0_nr_replicates_5_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",0,"G-2000",406.991309741479,0,0,0.667472019676862,1.75737444350225,20.8025072463768,432.943311990155,-0.0167610306435961,0.94006885681315,"D:/IL_only_prelim_data_moreReps",134876,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"181_0",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"SG","Self-guided","True Imitiation",0.940056812220104
"548","181_init_prop_sl_0_nr_replicates_5_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",1,"G-2000",408.410767242179,0,0,0.560004983531434,2.06858422713493,19.3082613693153,434.34212010015,0.131747465561652,0.940261561312231,"D:/IL_only_prelim_data_moreReps",134876,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"181_1",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"SG","Self-guided","True Imitiation",0.940297402305833
"549","181_init_prop_sl_0_nr_replicates_5_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",2,"G-2000",390.327585145777,0,0,0.528485503743378,0.578370193152409,23.3332233883058,430.687806277611,0.0357238776515437,0.906255613490715,"D:/IL_only_prelim_data_moreReps",134876,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"181_2",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"SG","Self-guided","True Imitiation",0.906288916139365
"550","181_init_prop_sl_0_nr_replicates_5_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",3,"G-2000",406.058187230235,0,0,0.500584203713143,0.251319115495532,18.6228590704648,434.567948344278,0.139673822960882,0.934344080925104,"D:/IL_only_prelim_data_moreReps",134876,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"181_3",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"SG","Self-guided","True Imitiation",0.934395159093839
"551","181_init_prop_sl_0_nr_replicates_5_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",4,"G-2000",376.193831974813,0,0,0.419152160490805,1.13856540892654,15.6477216391804,437.529791669365,0.0294330347312033,0.859836802269447,"D:/IL_only_prelim_data_moreReps",134876,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"181_4",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"SG","Self-guided","True Imitiation",0.859813066761628
"552","181_init_prop_sl_0_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",0,"G-2000",392.306148992704,0,0,0.530061596632334,0.899173566632434,27.6569745127436,426.472096655322,-0.0570795675456511,0.919893373204673,"D:/IL_only_prelim_data_moreReps",134567,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,1,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"181_0",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"SG","Self-guided","True Imitiation",0.919887026770168
"553","182_init_prop_sl_0_nr_replicates_5_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",0,"G-2000",387.372386144928,0,0,0.301611761726937,0.870432840046977,21.9279695152424,431.433962381459,-0.00376201560344103,0.89801020715914,"D:/IL_only_prelim_data_moreReps",145987,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"182_0",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"SG","Self-guided","True Imitiation",0.897871794808835
"554","182_init_prop_sl_0_nr_replicates_5_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",1,"G-2000",410.232035114043,0,0,0.659161172558971,2.30675907802099,15.0250264867566,437.720910829685,0.0261384153329538,0.937209332415366,"D:/IL_only_prelim_data_moreReps",145987,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"182_1",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"SG","Self-guided","True Imitiation",0.937199994253101
"555","182_init_prop_sl_0_nr_replicates_5_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",2,"G-2000",401.750036792354,0,0,0.752626755822039,2.55472710818391,22.6618725637181,430.959809409495,-0.0506492255810771,0.9322919716611,"D:/IL_only_prelim_data_moreReps",145987,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"182_2",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"SG","Self-guided","True Imitiation",0.932221585448619
"556","182_init_prop_sl_0_nr_replicates_5_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",3,"G-2000",330.029641668101,0,0,3.10600701492704,1.40088858824093,0.957778110944528,450.677522629035,-0.0452475870661874,0.732285170783151,"D:/IL_only_prelim_data_moreReps",145987,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"182_3",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"SG","Self-guided","True Imitiation",0.732296653586954
