"","X","prefix","Replicate","Generation","mean.fitness","mean.prop.SL","Schedule","mean.learning.rate","mean.learning.rate.SL","mean.learning.episodes","mean.best.fitness","environmental.mean.location","sch_num_n1","sch_num_0","sch_num_1","perfrom","folder","seed","init_w_range","init_lr_range","init_le_mean","init_prop_sl","mut_rate_w","mut_step_w","lr_homogenous","mut_rate_lr","mut_step_lr","le_homogenous","mut_rate_le","mut_step_le","mut_rate_sl","mut_step_sl","N","G","lifespan","extrapolate_from","nr_replicates","env_sample_size","env_range","init_mean_env","sd_env","env_change","env_change_sd","env_change_type","env_change_rate","SL_type","IL_type","cue_type","sl_homogenous","one_social_parent","success_bias","sl_speed","mut_rate_schedule","differential_learning_rates","schedule_init","file_rep","LR","LR_type","Performance"
"1",1,"1_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",301.963723791221,0.25,0,0.0400864529519246,1.13254292092504,25,428.638043485357,-0.138379217634613,0,1000,0,0.70480782417664,"D:/Groningen_Research/MS_Data/LR_fixedSchedule_SL_2",322691,1,1,25,0.25,0.01,0.1,"false",0.01,0.1,"true",0,1,0,0.1,1000,20000,500,30,10,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0,"true",0,"1_0",1.13254292092504,"LR_SL",0.70480782417664
"2",2,"1_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",1,"G-2000",385.30700639905,0.25,0,0.472808545308246,0.00260782837886817,25,429.257965771414,0.000930529006546727,0,1000,0,0.897572327479793,"D:/Groningen_Research/MS_Data/LR_fixedSchedule_SL_2",322691,1,1,25,0.25,0.01,0.1,"false",0.01,0.1,"true",0,1,0,0.1,1000,20000,500,30,10,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0,"true",0,"1_1",0.00260782837886817,"LR_SL",0.897572327479793
"3",3,"1_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",2,"G-2000",384.254327272864,0.25,0,0.590020856514543,0.00267012745547401,25,429.151112448126,-0.0841517496759355,0,1000,0,0.895420822655458,"D:/Groningen_Research/MS_Data/LR_fixedSchedule_SL_2",322691,1,1,25,0.25,0.01,0.1,"false",0.01,0.1,"true",0,1,0,0.1,1000,20000,500,30,10,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0,"true",0,"1_2",0.00267012745547401,"LR_SL",0.895420822655458
"4",4,"1_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",3,"G-2000",397.121671512944,0.25,0,0.515519819178261,0.00205366208294828,25,428.956667490505,-0.0174726373176607,0,1000,0,0.925790666416005,"D:/Groningen_Research/MS_Data/LR_fixedSchedule_SL_2",322691,1,1,25,0.25,0.01,0.1,"false",0.01,0.1,"true",0,1,0,0.1,1000,20000,500,30,10,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0,"true",0,"1_3",0.00205366208294828,"LR_SL",0.925790666416005
"5",5,"1_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",4,"G-2000",345.877081117886,0.25,0,0.42073666289985,0.00631202578332009,25,428.526185190555,0.0765175181726237,0,1000,0,0.807078978963521,"D:/Groningen_Research/MS_Data/LR_fixedSchedule_SL_2",322691,1,1,25,0.25,0.01,0.1,"false",0.01,0.1,"true",0,1,0,0.1,1000,20000,500,30,10,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0,"true",0,"1_4",0.00631202578332009,"LR_SL",0.807078978963521
"6",6,"1_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",5,"G-2000",390.82982811929,0.25,0,0.559435856751324,0.00262446827443118,25,428.698456826987,-0.0954404822338576,0,1000,0,0.91167007201893,"D:/Groningen_Research/MS_Data/LR_fixedSchedule_SL_2",322691,1,1,25,0.25,0.01,0.1,"false",0.01,0.1,"true",0,1,0,0.1,1000,20000,500,30,10,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0,"true",0,"1_5",0.00262446827443118,"LR_SL",0.91167007201893
"7",7,"1_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",6,"G-2000",333.694532317593,0.25,0,0.466586733671264,0.077816120534554,25,428.854414602399,0.0267631511973013,0,1000,0,0.778229223843278,"D:/Groningen_Research/MS_Data/LR_fixedSchedule_SL_2",322691,1,1,25,0.25,0.01,0.1,"false",0.01,0.1,"true",0,1,0,0.1,1000,20000,500,30,10,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0,"true",0,"1_6",0.077816120534554,"LR_SL",0.778229223843278
"8",8,"1_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",7,"G-2000",338.018465263643,0.25,0,0.928078649511494,0.0260671938916299,25,429.011378856622,-0.0166038657955522,0,1000,0,0.787944846107382,"D:/Groningen_Research/MS_Data/LR_fixedSchedule_SL_2",322691,1,1,25,0.25,0.01,0.1,"false",0.01,0.1,"true",0,1,0,0.1,1000,20000,500,30,10,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0,"true",0,"1_7",0.0260671938916299,"LR_SL",0.787944846107382
"9",9,"1_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",8,"G-2000",369.868452406982,0.25,0,0.465412488071714,0.00302206621430953,25,429.273117769515,0.168624286177626,0,1000,0,0.861622803709281,"D:/Groningen_Research/MS_Data/LR_fixedSchedule_SL_2",322691,1,1,25,0.25,0.01,0.1,"false",0.01,0.1,"true",0,1,0,0.1,1000,20000,500,30,10,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0,"true",0,"1_8",0.00302206621430953,"LR_SL",0.861622803709281
"10",10,"1_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",9,"G-2000",361.427990625367,0.25,0,1.26170987116692,0.512026791967766,25,428.759180527686,-0.0529694145133733,0,1000,0,0.842914150691171,"D:/Groningen_Research/MS_Data/LR_fixedSchedule_SL_2",322691,1,1,25,0.25,0.01,0.1,"false",0.01,0.1,"true",0,1,0,0.1,1000,20000,500,30,10,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0,"true",0,"1_9",0.512026791967766,"LR_SL",0.842914150691171
