"","prefix","Replicate","Generation","mean.fitness","mean.prop.SL","Schedule","mean.learning.rate","mean.learning.rate.SL","mean.learning.episodes","mean.best.fitness","environmental.mean.location","sch_num_n1","sch_num_0","sch_num_1","perfrom","folder","seed","init_w_range","init_lr_range","init_le_mean","init_prop_sl","mut_rate_w","mut_step_w","lr_homogenous","mut_rate_lr","mut_step_lr","le_homogenous","mut_rate_le","mut_step_le","mut_rate_sl","mut_step_sl","N","G","lifespan","extrapolate_from","nr_replicates","env_sample_size","env_range","init_mean_env","sd_env","env_change","env_change_sd","env_change_type","env_change_rate","SL_type","IL_type","cue_type","sl_homogenous","one_social_parent","success_bias","sl_speed","mut_rate_schedule","differential_learning_rates","schedule_init","file_rep","Rate_Mag","Rate_Mag_simple","colSpaces","row","xLabs","Change","Rate","SD","IL","SL","f","M","scheduleMode","Performance"
"1","1_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",348.854730985267,0.237145362190865,0.240429285357321,1.41039933566117,0.811892353309046,0.723701149425287,450.736409110495,0.0456582027354923,262.254372813593,235.061969015492,502.683658170915,0.773802760936782,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",208605,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"1_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.773966167218916
"2","10_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",344.858631138571,0.856571957678861,-0.0541214392803598,0.665736268983758,0.652182552788506,0.345579210394803,451.06727685942,-0.0476737930286857,349.173913043478,355.773613193403,295.052473763118,0.764657457910642,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",52885,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"10_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"0",0.764539235786882
"3","11_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",403.45130105947,0.00148687389580126,0.0609320339830085,0.558797385703098,2.34278585496552,22.3995062468766,431.404860232484,0.0656682423638131,310.527236381809,318.013493253373,371.459270364818,0.935194007144887,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",612836,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"11_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.935203420847067
"4","12_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",399.388871773263,0.253114051544778,-0.904399300349825,0.748458238608996,0.41735772414058,22.1407461269365,430.959018847626,-0.124031838378326,931.182908545727,42.0334832583708,26.783608195902,0.926726894999503,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",251055,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"12_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.926744433475877
"5","13_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",402.381875715442,0.00344297990596477,0.0122758620689655,0.594036882431184,0.632613388846127,20.6915837081459,432.625883975962,-0.0575349401312694,358.103448275862,271.51724137931,370.379310344828,0.930068901487702,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",976522,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"13_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.930092004707235
"6","14_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",372.408967106017,0.23011609856949,-0.897158420789605,0.670746347229135,0.217995945303298,18.2064502748626,434.520840845777,-0.0351146976594703,927.43928035982,42.279860069965,30.2808595702149,0.85709041584982,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",408157,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"14_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.857056629047155
"7","15_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",377.789079592704,0.00160909734299775,0.0331909045477261,0.446337029147626,0.892471655226837,25.2878705647176,428.200012015842,-0.0411761029113493,325.729135432284,315.350824587706,358.92003998001,0.882297515520763,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",224047,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"15_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.882272463782012
"8","16_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",396.575031437331,0.290051132946877,-0.875138930534733,0.920854647738681,0.353654433153523,17.5601019490255,435.516471484358,-0.0911577113247866,907.635682158921,59.8675662168916,32.4967516241879,0.910580700518466,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",24427,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"16_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.910585609048714
"9","17_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",347.726468721239,0.0330790670994877,-0.0910929535232384,3.06951421536182,1.83505653350175,1.01847326336832,450.612184278811,-0.0800302504369865,389.15892053973,312.775112443778,298.065967016492,0.771675864682336,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",72591,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"17_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.771675691099572
"10","18_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",408.031020935082,0.0385716409078596,-0.0724487756121939,0.649152968311244,0.0627894838043113,19.6987156421789,433.36922270055,0.0822919000998601,352.996001999,366.456771614193,280.547226386807,0.941534436709793,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",785346,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"18_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"0",0.941532069103633
