"","prefix","Replicate","Generation","mean.fitness","mean.prop.SL","Schedule","mean.learning.rate","mean.learning.rate.SL","mean.learning.episodes","mean.best.fitness","environmental.mean.location","sch_num_n1","sch_num_0","sch_num_1","perfrom","folder","seed","init_w_range","init_lr_range","init_le_mean","init_prop_sl","mut_rate_w","mut_step_w","lr_homogenous","mut_rate_lr","mut_step_lr","le_homogenous","mut_rate_le","mut_step_le","mut_rate_sl","mut_step_sl","N","G","lifespan","extrapolate_from","nr_replicates","env_sample_size","env_range","init_mean_env","sd_env","env_change","env_change_sd","env_change_type","env_change_rate","SL_type","IL_type","cue_type","sl_homogenous","one_social_parent","success_bias","sl_speed","mut_rate_schedule","differential_learning_rates","schedule_init","file_rep","Rate_Mag","Rate_Mag_simple","colSpaces","row","xLabs","Change","Rate","SD","IL","SL","f","M","scheduleMode","Performance"
"1","1_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",346.012997401144,0.713821509143978,0.00553773113443278,3.99962087664218,0.351280394160655,0.333414792603698,451.111484008496,-0.116418392635004,369.885057471264,254.692153923038,375.422788605697,0.767124419729203,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",208605,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"1_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.767023251827983
"2","10_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",343.672950198106,0.186862421362844,0.00216691654172914,0.062965616615093,1.35879347233533,0.960782608695652,450.746936846177,-0.0308139083041764,406.403298350825,185.026486756622,408.570214892554,0.762502864502855,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",52885,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"10_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.762452103618818
"3","11_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",405.472160667366,0.00209731853215062,0.0559250374812594,0.50094667533988,3.38952215815242,17.6477611194403,435.543933405997,-0.0336608779706647,312.805597201399,318.463768115942,368.730634682659,0.930951127110278,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",612836,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"11_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.93095582228992
"4","12_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",399.321089752424,0.220515423773613,-0.901983008495752,0.675302517343578,0.319610136654723,20.4684052973513,433.133590947027,0.0709061205842079,927.609695152424,46.7636181909045,25.6266866566717,0.921913064094335,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",251055,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"12_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.921935167575728
"5","13_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",411.367420412794,0.00297824626588611,-0.0521934032983508,0.677451319509945,4.16939434388706,15.695836081959,437.728064854123,0.117298587871534,360.688655672164,330.816091954023,308.495252373813,0.939723821176501,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",976522,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"13_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.939778491356011
"6","14_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",402.352550811994,0.255807501118441,-0.894945527236382,0.894293274338681,0.22930339211914,19.5665372313843,433.588646803698,0.0188807392980165,924.316341829085,46.3128435782109,29.3708145927036,0.92784518327218,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",408157,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"14_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.927959146942688
"7","15_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",339.171361977401,0.289372364708696,-0.0438045977011494,2.43463865355222,2.46891338336532,0.702992003998001,450.988228452174,0.0415096767890055,420.414792603698,202.975012493753,376.610194902549,0.752108784586273,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",224047,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"15_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.752062560793356
"8","16_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",401.616034570165,0.259375431590005,-0.88848075962019,0.981097193833833,0.359228039644878,24.0280019990005,429.849474355072,0.125188549194163,914.838580709645,58.8035982008996,26.3578210894553,0.934308188825705,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",24427,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"16_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.93431784503804
"9","17_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",339.360399176762,0.536748242208096,0.0407076461769115,0.203322080184683,0.802676098087856,0.218206396801599,451.372330807596,0.18420922165075,331.240379810095,296.811594202899,371.948025987006,0.75180451795953,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",72591,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"17_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.751841386842605
"10","18_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",410.969693684058,0.00172436589249125,0.0220019990004998,0.657338677069615,5.32120457128786,20.9667021489255,432.259666190205,0.00952333560890555,324.552223888056,328.893553223388,346.554222888556,0.950750526403503,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",785346,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"18_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.95074726102995
