"","prefix","Replicate","Generation","mean.fitness","mean.prop.SL","Schedule","mean.learning.rate","mean.learning.rate.SL","mean.learning.episodes","mean.best.fitness","environmental.mean.location","perfrom","folder","seed","init_w_range","init_lr_range","init_le_mean","init_prop_sl","mut_rate_w","mut_step_w","lr_homogenous","mut_rate_lr","mut_step_lr","le_homogenous","mut_rate_le","mut_step_le","mut_rate_sl","mut_step_sl","N","G","lifespan","extrapolate_from","nr_replicates","env_sample_size","env_range","init_mean_env","sd_env","env_change","env_change_sd","env_change_type","env_change_rate","SL_type","IL_type","cue_type","sl_homogenous","one_social_parent","success_bias","sl_speed","mut_rate_schedule","differential_learning_rates","schedule_init","file_rep","f","M","f_M","f_M_simple","colSpaces","row","xLabs","Change","Rate","SD","IL","SL","Performance"
"181","115_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",275.558796291869,0.60410356491944,0,0.489653238081459,0.463814526303898,25.0542833583208,321.411096142629,-0.0225893120191954,0.857347563807947,".",489874,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"115_0",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","PB",0.25,10,0.1,"PB","Stimulus Enhancement",0.857340644423761
"182","115_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Guided_",1,"G-2000",277.542086505817,0.517960552093303,0,0.758467666374013,0.584792093657621,36.6226896551724,312.683998116342,-0.0186102262530435,0.887567954142063,".",489874,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"115_1",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","PB",0.25,10,0.1,"PB","Stimulus Enhancement",0.887612056190194
"183","115_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Guided_",2,"G-2000",279.503414011634,0.53200183392099,0,0.556115682110845,0.594651199915992,40.0971154422789,311.426355970265,0.0595437028690005,0.897412600106074,".",489874,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"115_2",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","PB",0.25,10,0.1,"PB","Stimulus Enhancement",0.897494411289714
"184","115_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Guided_",3,"G-2000",273.713163539921,0.637033963986657,0,0.901023152603448,0.592328040895102,44.2917846076962,307.077000953823,-0.0538233123057871,0.891520047227636,".",489874,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"115_3",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","PB",0.25,10,0.1,"PB","Stimulus Enhancement",0.891350256416894
"185","115_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Guided_",4,"G-2000",231.995794305448,0.0455795169173915,0,0.316012257339695,0.340616222778661,22.2163848075962,323.78716878081,0.0764886713955622,0.716050983800461,".",489874,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"115_4",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","PB",0.25,10,0.1,"PB","Stimulus Enhancement",0.716507065981046
"186","115_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Guided_",5,"G-2000",276.970817493948,0.598270835049325,0,0.500491120703898,0.58414867676042,21.6459295352324,323.065756988556,-0.0329016773756122,0.857239868190776,".",489874,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"115_5",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","PB",0.25,10,0.1,"PB","Stimulus Enhancement",0.857320256023789
"187","115_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Guided_",6,"G-2000",272.024325334453,0.729564589303698,0,0.505270185634583,0.632554286683808,22.2193218390805,322.951297086207,0.0211579957116442,0.84155894617457,".",489874,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"115_6",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","PB",0.25,10,0.1,"PB","Stimulus Enhancement",0.84230757946713
"188","115_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Guided_",7,"G-2000",279.519677154253,0.46781040534088,0,0.829570092825837,0.70840169486087,29.5361449275362,318.063786215942,-0.0345840097418341,0.878636751492472,".",489874,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"115_7",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","PB",0.25,10,0.1,"PB","Stimulus Enhancement",0.878816417548647
"189","115_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Guided_",8,"G-2000",210.966415851018,0.674809028626237,0,1.86952465611444,0.737084711464318,16.9848035982009,325.897793470015,0.0112798650681159,0.647323085059076,".",489874,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"115_8",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","PB",0.25,10,0.1,"PB","Stimulus Enhancement",0.7
"190","115_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Guided_",9,"G-2000",275.322410046012,0.508709418664318,0,0.975026880192854,0.731953998811994,30.7769190404798,317.123784069365,-0.123930664858071,0.868189249088526,".",489874,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"115_9",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","PB",0.25,10,0.1,"PB","Stimulus Enhancement",0.868185938352042
