"","prefix","Replicate","Generation","mean.fitness","mean.prop.SL","Schedule","mean.learning.rate","mean.learning.rate.SL","mean.learning.episodes","mean.best.fitness","environmental.mean.location","sch_num_n1","sch_num_0","sch_num_1","perfrom","folder","seed","init_w_range","init_lr_range","init_le_mean","init_prop_sl","mut_rate_w","mut_step_w","lr_homogenous","mut_rate_lr","mut_step_lr","le_homogenous","mut_rate_le","mut_step_le","mut_rate_sl","mut_step_sl","N","G","lifespan","extrapolate_from","nr_replicates","env_sample_size","env_range","init_mean_env","sd_env","env_change","env_change_sd","env_change_type","env_change_rate","SL_type","IL_type","cue_type","sl_homogenous","one_social_parent","success_bias","sl_speed","mut_rate_schedule","differential_learning_rates","schedule_init","file_rep","f","M","f_M","f_M_simple","colSpaces","row","xLabs","Change","Rate","SD","IL","SL","ScheduleFactor","scheduleMode","Performance"
"1","1_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",0,"G-2000",265.280506145524,0.233388285406447,-0.923697151424288,0.501895449036632,0.264116530925837,39.9643323338331,311.050842711794,-0.0593550160027084,935.626686656672,52.4437781109445,11.9295352323838,0.853391296048488,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",786035,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"1_0",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","-1","-1",0.852852555655415
"2","1_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",1,"G-2000",166.92257237673,0.316950240080259,-0.224861069465267,0.311796466099085,1.89780699918541,13.7327131434283,328.206894931684,-0.0325569291419479,522.731134432784,179.3988005997,297.870064967516,0.508366643300884,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",786035,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"1_1",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","0","-1",0.7
"3","1_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",2,"G-2000",214.332477504432,0.0055291755729902,0.0415822088955522,1.57522288427386,1.525334384997,18.5555232383808,324.956175737231,-0.0639558275385214,321.975012493753,314.467766116942,363.557221389305,0.659793958292937,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",786035,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"1_2",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","0","1",0.7
"4","1_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",3,"G-2000",267.967002869016,0.0121959450663047,-0.10508395802099,0.284939850875612,0.0910749302174663,28.2027836081959,319.693521558271,0.0452388713528992,382.784607696152,339.514742628686,277.700649675162,0.838160910472844,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",786035,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"1_3",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","0","-1",0.838199665613722
"5","1_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",4,"G-2000",273.714577993009,0.230665015158221,-0.942659170414793,1.135981700104,0.957317712423938,27.1122553723138,319.498023586957,-0.057757130362101,955.526236881559,31.6066966516742,12.8670664667666,0.856569443229973,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",786035,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"1_4",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","-1","-1",0.856701944256356
"6","1_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",5,"G-2000",275.254561933383,0.207795067301694,-0.947059470264868,0.436378547015492,0.40732697746067,31.7704722638681,315.466895311394,-0.0885934195486046,959.04047976012,28.9785107446277,11.9810094952524,0.872596933127514,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",786035,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"1_5",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","-1","-1",0.872530734680361
"7","1_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",6,"G-2000",284.919500167516,0.175468521011924,-0.947376311844078,0.50920169662089,0.272121100331134,30.9754112943528,317.674193396502,-0.0101474020843967,959.006496751624,29.3633183408296,11.6301849075462,0.896987245239871,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",786035,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"1_6",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","-1","-1",0.896892181014831
"8","1_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",7,"G-2000",271.737963126432,0.00130030744898241,0.171871064467766,0.276179662045577,2.13292297852274,26.5236351824088,320.628477036982,-0.0457937045114964,261.007996001999,306.112943528236,432.879060469765,0.847143552990529,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",786035,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"1_7",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","0","1",0.847516619975989
"9","1_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",8,"G-2000",283.907135039585,0.233386686708946,-0.940099950024987,0.598862666177461,0.396874068173463,32.7120019990005,315.667192404898,-0.044306866194926,952.843578210895,34.4127936031984,12.743628185907,0.899488449807069,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",786035,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"1_8",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","-1","-1",0.899387525439846
"10","1_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",9,"G-2000",169.77012790014,0.0838352854073159,-0.00732983508245877,1.01558008627531,1.15305316164718,20.1466461769115,323.22656555917,-0.106140549244396,330.459270364818,346.411294352824,323.129435282359,0.52539670802474,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",786035,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"1_9",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","0","0",0.7
"11","2_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",0,"G-2000",257.659420878956,0.0173961115783418,0.0206016991504248,0.900657951910595,0.125269109339451,33.2205412293853,315.089515351524,-0.0885713955355462,301.067466266867,377.263368315842,321.669165417291,0.817710415595472,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",436455,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"2_0",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","0","0",0.817734035331207
"12","2_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",1,"G-2000",271.13350496038,0.198365180918941,-0.943856071964018,0.52757616973988,0.40589247186092,35.3474052973513,314.091038343878,-0.0665511600062291,956.03748125937,31.7811094452774,12.1814092953523,0.863253427714217,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",436455,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"2_1",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","-1","-1",0.86323222206529
"13","2_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",2,"G-2000",243.981466062329,0.00245390347402694,-0.0338630684657671,2.79401242184758,0.899606283687806,36.5694847576212,312.275880004898,-0.0141893366616102,358.894052973513,316.074962518741,325.030984507746,0.78123418239051,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",436455,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"2_2",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","0","-1",0.78130102798366
